község_neve_2011,község_jogállása_2011,megye_2011,kistérség_székhelye_2011,terület_hektár_2011,lakónépesség_2011,lakások_száma_2011,fő_per_hektár,fő_per_lakás,önkormányzat_bolgár_2011,önkormányzat_cigány_2011,önkormányzat_görög_2011,önkormányzat_horvát_2011,önkormányzat_lengyel_2011,önkormányzat_német_2011,önkormányzat_örmény_2011,önkormányzat_román_2011,önkormányzat_ruszin_2011,önkormányzat_szerb_2011,önkormányzat_szlovák_2011,önkormányzat_szlovén_2011,önkormányzat_ukrán_2011
Aba,nagyközség,Fejér,Aba,8805,4674,1555,0.5308347529812606,3.0057877813504823,0,0,0,0,0,0,0,0,0,0,0,0,0
Abádszalók,város,Jász-Nagykun-Szolnok,Tiszafüred,13223,4034,2100,0.3050744914164713,1.920952380952381,0,1,0,0,0,0,0,0,1,0,0,0,0
Abaliget,község,Baranya,Pécs,1609,584,235,0.362958359229335,2.4851063829787234,0,1,0,0,0,0,0,0,0,0,0,0,0
Abasár,község,Heves,Gyöngyös,2082,2507,1153,1.2041306436119117,2.1743278404163053,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaújalpár,község,Borsod-Abaúj-Zemplén,Encs,848,75,61,0.08844339622641509,1.2295081967213115,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaújkér,község,Borsod-Abaúj-Zemplén,Encs,1727,697,301,0.4035900405327157,2.3156146179401995,0,1,0,0,0,0,0,0,0,0,0,0,1
Abaújlak,község,Borsod-Abaúj-Zemplén,Szikszó,706,137,86,0.19405099150141644,1.5930232558139534,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaújszántó,város,Borsod-Abaúj-Zemplén,Gönc,4736,3097,1315,0.6539273648648649,2.3551330798479087,0,1,0,0,0,0,0,0,0,0,0,0,1
Abaújszolnok,község,Borsod-Abaúj-Zemplén,Szikszó,866,184,70,0.21247113163972287,2.6285714285714286,0,1,0,0,0,0,0,0,0,0,0,0,0
Abaújvár,község,Borsod-Abaúj-Zemplén,Gönc,736,201,159,0.27309782608695654,1.2641509433962264,0,0,0,0,0,0,0,0,0,0,0,0,0
Abda,község,Győr-Moson-Sopron,Győr,1901,3167,1113,1.665965281430826,2.8454627133872417,0,0,0,0,0,0,0,0,0,0,0,0,0
Abod,község,Borsod-Abaúj-Zemplén,Edelény,3117,229,127,0.07346807828039782,1.8031496062992125,0,0,0,0,0,0,0,0,1,0,0,0,0
Abony,város,Pest,Cegléd,12797,15072,6180,1.1777760412596703,2.4388349514563106,0,1,0,0,0,0,0,0,0,0,0,0,0
Ábrahámhegy,község,Veszprém,Tapolca,1488,443,235,0.2977150537634409,1.8851063829787233,0,0,0,0,0,0,0,0,0,0,0,0,0
Ács,város,Komárom-Esztergom,Komárom,10384,7005,2680,0.674595531587057,2.6138059701492535,0,1,0,0,0,0,0,0,0,0,0,0,0
Acsa,község,Pest,Vác,2694,1464,477,0.5434298440979956,3.069182389937107,0,1,0,0,0,0,0,0,0,0,1,0,0
Acsád,község,Vas,Szombathely,1434,662,186,0.4616457461645746,3.5591397849462365,0,0,0,0,0,0,0,0,0,0,0,0,0
Acsalag,község,Győr-Moson-Sopron,Csorna,1041,450,225,0.4322766570605187,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ácsteszér,község,Komárom-Esztergom,Kisbér,1772,672,287,0.3792325056433409,2.341463414634146,0,0,0,0,0,0,0,0,0,0,0,0,0
Adács,község,Heves,Gyöngyös,3794,2718,1229,0.7163943068002109,2.211554109031733,0,0,0,0,0,0,0,0,0,0,0,0,0
Ádánd,község,Somogy,Siófok,2952,2252,868,0.7628726287262872,2.5944700460829493,0,0,0,0,0,0,0,0,0,0,0,0,0
Adásztevel,község,Veszprém,Pápa,837,753,322,0.899641577060932,2.3385093167701863,0,0,0,0,0,1,0,0,0,0,0,0,0
Adony,város,Fejér,Adony,6105,3851,1476,0.6307944307944308,2.609078590785908,0,0,0,0,0,1,0,0,0,1,0,0,0
Adorjánháza,község,Veszprém,Devecser,1142,358,205,0.3134851138353765,1.7463414634146341,0,1,0,0,0,0,0,0,0,0,0,0,0
Adorjás,község,Baranya,Sellye,810,187,65,0.2308641975308642,2.876923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0
Ág,község,Baranya,Sásd,1203,180,66,0.14962593516209477,2.727272727272727,0,1,0,0,0,0,0,0,0,0,0,0,0
Ágasegyháza,község,Bács-Kiskun,Kecskemét,5587,1936,901,0.3465187041345982,2.148723640399556,0,0,0,0,0,0,0,0,0,0,0,0,0
