Település,Megye,Település típusa,Szavazókör db,Névjegyzékben szereplő választópolgárok száma,Megjelentek száma,Bélyegző nélküli szavazólapok száma,Lebélyegzett szavazólapok száma,"Érvénytelen, lebélyegzett szavazólapok száma",Érvényes szavazólapok száma,MSZP-PÁRBESZÉD,MKKP,JOBBIK,FIDESZ,MOMENTUM,DK,MI HAZÁNK,MUNKÁSPÁRT,LMP
Budapest 01,Budapest,Fővárosi kerület,20,20315,12623,7,12610,45,12565,1035,508,241,5696,2631,1730,200,31,493
Budapest 02,Budapest,Fővárosi kerület,74,65310,41165,13,41146,183,40963,3437,1478,801,18111,8561,6681,534,72,1288
Budapest 03,Budapest,Fővárosi kerület,112,99498,54979,17,54936,198,54738,5243,2231,1878,21561,9578,11232,1275,180,1560
Budapest 04,Budapest,Fővárosi kerület,70,77679,38770,0,38760,92,38668,3074,1371,1432,14783,5837,9890,1027,157,1097
Budapest 05,Budapest,Fővárosi kerület,21,18782,10726,2,10711,59,10652,928,393,222,4840,2106,1619,174,29,341
Budapest 06,Budapest,Fővárosi kerület,30,25697,12707,4,12698,39,12659,1036,627,306,4920,2743,2276,264,42,445
Budapest 07,Budapest,Fővárosi kerület,38,37846,17688,0,17686,85,17601,1533,973,479,6639,3781,3202,330,47,617
Budapest 08,Budapest,Fővárosi kerület,60,53555,22549,2,22535,89,22446,1704,1077,643,9398,4450,3800,549,82,743
Budapest 09,Budapest,Fővárosi kerület,53,42833,21476,2,21467,80,21387,1644,1001,698,8192,4883,3663,485,73,748
Budapest 10,Budapest,Fővárosi kerület,76,56460,25832,8,25821,89,25732,2193,927,981,10743,3612,5743,689,130,714
Budapest 11,Budapest,Fővárosi kerület,113,103465,61692,7,61655,222,61433,5264,2379,1485,26023,11961,11013,1177,178,1953
Budapest 12,Budapest,Fővárosi kerület,55,44257,28475,0,28466,132,28334,2130,1127,544,12905,6021,4201,381,62,963
Budapest 13,Budapest,Fővárosi kerület,87,90989,46776,11,46727,194,46533,6301,1939,1236,14762,9945,9944,861,149,1396
Budapest 14,Budapest,Fővárosi kerület,75,90523,49429,7,49416,243,49173,5468,2137,1282,18555,9125,9863,1094,157,1492
Budapest 15,Budapest,Fővárosi kerület,70,62968,30325,5,30319,129,30190,2338,1033,1125,12761,3470,7698,861,141,763
Budapest 16,Budapest,Fővárosi kerület,60,56193,32272,5,32258,177,32081,2119,1046,936,14761,5609,5775,862,96,877
Budapest 17,Budapest,Fővárosi kerület,75,69714,35635,2,35626,132,35494,2795,1168,1358,15878,5041,7157,1025,112,960
Budapest 18,Budapest,Fővárosi kerület,76,79451,39830,3,39817,201,39616,3972,1329,1699,17226,5145,7975,1171,126,973
Budapest 19,Budapest,Fővárosi kerület,48,46402,23612,9,23595,97,23498,2837,837,863,9359,3237,4874,639,108,744
Budapest 20,Budapest,Fővárosi kerület,61,51104,23361,11,23345,118,23227,2113,774,1070,9886,2894,5133,678,102,577
Budapest 21,Budapest,Fővárosi kerület,70,59513,27735,12,27724,134,27590,2414,862,1342,11444,3604,6220,792,155,757
Budapest 22,Budapest,Fővárosi kerület,37,42828,23663,4,23649,78,23571,1768,801,800,10567,3823,4472,560,56,724
Budapest 23,Budapest,Fővárosi kerület,24,17788,8205,0,8202,40,8162,673,272,376,3573,1031,1660,293,36,248
Abaliget,Baranya,Község,1,554,223,0,223,0,223,20,13,17,98,30,26,9,1,9
Adorjás,Baranya,Község,1,152,40,0,40,1,39,3,0,3,27,2,3,1,0,0
Ág,Baranya,Község,1,144,52,0,52,0,52,1,0,4,38,0,7,1,0,1
Almamellék,Baranya,Község,1,324,144,0,144,1,143,6,1,14,92,0,28,2,0,0
Almáskeresztúr,Baranya,Község,1,64,41,0,41,0,41,5,3,6,18,0,4,5,0,0
